restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
6426,La Corte,Restaurant,Perambur,3.6,13.121,80.2326,Chinese
6427,Murugan Hotel,Hotel,Valasaravakkam,3.6,13.0403,80.1723,South Indian
6427,Murugan Hotel,Hotel,Valasaravakkam,3.6,13.0403,80.1723,Chinese
6428,Olives Crunchy Cafe,Fast Food,Kolathur,3.6,13.124,80.2121,Sandwich
6428,Olives Crunchy Cafe,Fast Food,Kolathur,3.6,13.124,80.2121,Fast Food
6429,Metro Eat Out,Fast Food,Vadapalani,3.6,13.05,80.2121,Beverages
6429,Metro Eat Out,Fast Food,Vadapalani,3.6,13.05,80.2121,Fast Food
6430,Ambrosia 30h6,Bakery & Sweet Shop,Besant Nagar,2.0,13.0003,80.2667,Bakery
6430,Ambrosia 30h6,Bakery & Sweet Shop,Besant Nagar,2.0,13.0003,80.2667,Desserts
6431,Malaidaar Kulfi,Bakery & Sweet Shop,Kilpauk,3.6,13.0828,80.2417,Desserts
6432,Eldams MM Fresh Juice,Fast Food,Teynampet,3.6,13.0405,80.2503,Juices
6432,Eldams MM Fresh Juice,Fast Food,Teynampet,3.6,13.0405,80.2503,Fast Food
6433,S.P Biriyani & Fast Food,Restaurant,Anna Nagar West,2.0,13.0862,80.2018,South Indian
6434,Bobsmake,Cloud Kitchen,GST Road,3.6,12.9975,80.1908,Bakery
6434,Bobsmake,Cloud Kitchen,GST Road,3.6,12.9975,80.1908,Desserts
6434,Bobsmake,Cloud Kitchen,GST Road,3.6,12.9975,80.1908,Fast Food
6435,Snacksandhai,Bakery & Sweet Shop,Thiruvanmiyur,4.0,12.983,80.2594,Desserts
6436,Viva Snackteria,Fast Food,Teynampet,2.0,13.0405,80.2503,Sandwich
6436,Viva Snackteria,Fast Food,Teynampet,2.0,13.0405,80.2503,Beverages
6436,Viva Snackteria,Fast Food,Teynampet,2.0,13.0405,80.2503,South Indian
6436,Viva Snackteria,Fast Food,Teynampet,2.0,13.0405,80.2503,Fast Food
6437,The Spice Bowl,Restaurant,Perungudi,3.6,12.9654,80.2461,Chinese
6437,The Spice Bowl,Restaurant,Perungudi,3.6,12.9654,80.2461,North Indian
