restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,dish
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Tabbouleh
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Paneer Butter Masala
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Rajma Chawal
8352,Raja Kadai,Cloud Kitchen,Maduravoyal,3.6,13.0656,80.1608,Rogan Josh
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Sugarcane Juice
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Focaccia Sandwich
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Filter Coffee
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Green Tea
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Mixed Fruit Juice
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Pineapple Juice
8353,Mr And Mrs Fresh Juice,Restaurant,Pallikaranai,3.6,12.9349,80.2137,Green Juice
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Fried Chicken
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Burger
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Fresh Lime Soda
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,French Fries
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Filter Coffee
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Buttermilk
8354,Bestea Cafe,Fast Food,Porur,3.6,13.0382,80.1565,Cold Coffee
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Bonda Soup
8355,Udipi Ganga Hotel,Hotel,T. Nagar,3.6,13.0418,80.2341,Uthappam
