outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
2,3.55,3.55,12.9625,79.9453,0.33333333333333337
2,3.0,3.0,13.0418,80.2341,0.33333333333333337
2,3.55,3.55,12.8913,80.081,-0.0
2,3.2,3.2,13.0418,80.2341,0.33333333333333337
2,2.1,2.1,12.9975,80.2006,0.33333333333333337
2,3.25,3.25,12.8372,79.7042,0.33333333333333337
2,3.8499999999999996,3.8499999999999996,12.86,80.247,-0.0
2,3.1,3.1,13.0732,80.2609,-0.0
2,3.0,3.0,13.0732,80.2609,-0.0
2,3.5,3.5,13.0418,80.2341,0.33333333333333337
2,2.6500000000000004,2.6500000000000004,13.0368,80.2676,0.33333333333333337
2,3.6,3.6,13.0569,80.2425,-0.0
2,4.0,4.0,12.6269,80.1961,-0.0
2,3.5999999999999996,3.5999999999999996,13.0418,80.2341,-0.0
2,3.1500000000000004,3.1500000000000004,13.0732,80.2609,0.33333333333333337
2,2.25,2.25,13.0213,80.2231,-0.0
2,2.8,2.8,13.0694,80.1948,0.33333333333333337
2,3.45,3.45,12.9416,80.2362,0.33333333333333337
2,2.3,2.3,12.86,80.247,-0.0
2,3.55,3.55,13.054,80.2641,0.33333333333333337
2,2.45,2.45,13.0418,80.2341,-0.0
2,4.1,4.1,13.0405,80.2503,0.33333333333333337
2,3.25,3.25,13.029900000000001,80.20775,0.33333333333333337
2,2.95,2.95,13.0837,80.175,0.33333333333333337
2,3.55,3.55,13.0418,80.2341,-0.0
2,4.3,4.3,13.0173,80.2704,-0.0
2,4.4,4.4,13.054,80.2641,0.33333333333333337
2,2.65,2.65,13.1349,80.2316,-0.0
2,4.1,4.1,12.97595,80.20644999999999,0.33333333333333337
2,4.05,4.05,13.0181,80.2726,0.33333333333333337
2,2.9,2.9,13.0368,80.2676,-0.0
2,3.75,3.75,13.06055,80.2174,-0.0
2,3.4,3.4,13.0074,80.24855,-0.0
2,3.4,3.4,13.0617,80.2544,-0.0
2,3.05,3.05,13.0067,80.2206,-0.0
2,3.7,3.7,13.0317,80.1817,-0.0
2,4.0,4.0,13.0902,80.2543,-0.0
2,2.4,2.4,13.0521,80.2255,0.33333333333333337
2,3.5,3.5,12.6819,79.9888,-0.0
2,2.3,2.3,12.9416,80.2362,-0.0
