restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,feature
55,Fazari,Restaurant,Chromepet,4.2,12.9516,80.1462,Table booking recommended
55,Fazari,Restaurant,Chromepet,4.2,12.9516,80.1462,Valet Parking Available
56,Guntur Gongura,Restaurant,Sholinganallur,4.1,12.901,80.2279,Breakfast
56,Guntur Gongura,Restaurant,Sholinganallur,4.1,12.901,80.2279,Home Delivery
56,Guntur Gongura,Restaurant,Sholinganallur,4.1,12.901,80.2279,Indoor Seating
56,Guntur Gongura,Restaurant,Sholinganallur,4.1,12.901,80.2279,Table booking recommended
57,Andhra Ruchulu,Restaurant,Porur,4.1,13.0382,80.1565,Home Delivery
57,Andhra Ruchulu,Restaurant,Porur,4.1,13.0382,80.1565,Indoor Seating
58,Brownie Heaven,Restaurant,Royapettah,4.9,13.054,80.2641,Home Delivery
58,Brownie Heaven,Restaurant,Royapettah,4.9,13.054,80.2641,Indoor Seating
58,Brownie Heaven,Restaurant,Royapettah,4.9,13.054,80.2641,Desserts and Bakes
59,Hotel Junior Kuppanna,Hotel,T. Nagar,4.3,13.0418,80.2341,Home Delivery
59,Hotel Junior Kuppanna,Hotel,T. Nagar,4.3,13.0418,80.2341,Indoor Seating
60,Mezze,Restaurant,Alwarpet,4.7,13.0335,80.2531,Home Delivery
60,Mezze,Restaurant,Alwarpet,4.7,13.0335,80.2531,Indoor Seating
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Home Delivery
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Valet Parking Available
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Table reservation required
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Wifi
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Smoking Area
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Desserts and Bakes
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Indoor Seating
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Bulk Orders Accepted
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,Outdoor Seating
61,Pantry dor,Restaurant,Anna Nagar East,4.4,13.092,80.2236,All Day Breakfast
62,Maggevala - Curly Cravings,Fast Food,Kilpauk,4.0,13.0828,80.2417,Home Delivery
62,Maggevala - Curly Cravings,Fast Food,Kilpauk,4.0,13.0828,80.2417,Vegetarian Only
62,Maggevala - Curly Cravings,Fast Food,Kilpauk,4.0,13.0828,80.2417,Free Parking
62,Maggevala - Curly Cravings,Fast Food,Kilpauk,4.0,13.0828,80.2417,Indoor Seating
63,Amadora Gourmet Ice Cream & Sorbet,Restaurant,Nungambakkam,4.8,13.0569,80.2425,Home Delivery
63,Amadora Gourmet Ice Cream & Sorbet,Restaurant,Nungambakkam,4.8,13.0569,80.2425,Outdoor Seating
63,Amadora Gourmet Ice Cream & Sorbet,Restaurant,Nungambakkam,4.8,13.0569,80.2425,Desserts and Bakes
64,Eatza Pizza,Fast Food,Nungambakkam,3.7,13.0569,80.2425,Home Delivery
64,Eatza Pizza,Fast Food,Nungambakkam,3.7,13.0569,80.2425,Free Parking
64,Eatza Pizza,Fast Food,Nungambakkam,3.7,13.0569,80.2425,Indoor Seating
64,Eatza Pizza,Fast Food,Nungambakkam,3.7,13.0569,80.2425,Buffet
65,Samco,Restaurant,Velachery,4.3,12.9755,80.2207,Home Delivery
65,Samco,Restaurant,Velachery,4.3,12.9755,80.2207,Valet Parking Available
65,Samco,Restaurant,Velachery,4.3,12.9755,80.2207,Table booking recommended
65,Samco,Restaurant,Velachery,4.3,12.9755,80.2207,Indoor Seating
65,Samco,Restaurant,Velachery,4.3,12.9755,80.2207,Buffet
66,Sree Akshayam,Restaurant,Anna Nagar East,4.3,13.092,80.2236,Breakfast
66,Sree Akshayam,Restaurant,Anna Nagar East,4.3,13.092,80.2236,Home Delivery
66,Sree Akshayam,Restaurant,Anna Nagar East,4.3,13.092,80.2236,Vegetarian Only
66,Sree Akshayam,Restaurant,Anna Nagar East,4.3,13.092,80.2236,Indoor Seating
67,Biriyani Palace,Hotel,Porur,4.0,13.0382,80.1565,Home Delivery
67,Biriyani Palace,Hotel,Porur,4.0,13.0382,80.1565,Free Parking
67,Biriyani Palace,Hotel,Porur,4.0,13.0382,80.1565,Indoor Seating
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Breakfast
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Home Delivery
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Indoor Seating
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Available for Functions
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Desserts and Bakes
68,Pumpkin Tales,Restaurant,Alwarpet,4.5,13.0335,80.2531,Table booking recommended
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Breakfast
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Home Delivery
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Free Parking
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Indoor Seating
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Valet Parking Available
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Table booking recommended
69,Sandys Chocolate Laboratory,Cafe,Nungambakkam,4.5,13.0569,80.2425,Desserts and Bakes
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Breakfast
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Home Delivery
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Vegetarian Only
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Catering Available
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Buffet
70,Hotel Saravana Bhavan,Hotel,Perungudi,2.7,12.9654,80.2461,Indoor Seating
71,Little Italy,Restaurant,Besant Nagar,4.7,13.0003,80.2667,Home Delivery
71,Little Italy,Restaurant,Besant Nagar,4.7,13.0003,80.2667,Vegetarian Only
